Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
063_P_Hwax,WAX,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
064_UATO,UATO,124,5.9,236,0,0,4,48,45,3,0,5.9,5.664,2.832,0,0,0,0.236,2.832,2.655,0.177,0,4
065_P_Hwax,WAX,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
066_OLBO,BO,114,0.35,14,0,2,51,46,1,0,0,0.343,0.1645,0.0035,0.007,0,0.007,0.1785,0.161,0.0035,0,0,3
067_P_Hwax,WAX,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
069_TDAE,TDAE,144,1.2,48,0,0,1,4,15,45,34,1.188,1.176,1.128,0,0,0,0.012,0.048,0.18,0.54,0.408,6
070_CGO,CGO,97,9.4,376,2,46,50,3,0,0,0,4.982,0.282,0,4.512,0.188,4.324,4.7,0.282,0,0,0,3
071_HFO,HFO,54,4.7,188,0,6,34,25,20,13,2,4.418,2.82,1.645,0.282,0,0.282,1.598,1.175,0.94,0.611,0.094,3
072_OLBO,BO,126,0.37,14.8,0,1,17,39,26,13,4,0.3663,0.3034,0.1591,0.0037,0,0.0037,0.0629,0.1443,0.0962,0.0481,0.0148,4
073_OLBO,BO,128,1.2,48,0,58,42,0,0,0,0,0.504,0,0,0.696,0,0.696,0.504,0,0,0,0,2
074_OLBO,BO,49,0.5,20,0,64,36,0,0,0,0,0.18,0,0,0.32,0,0.32,0.18,0,0,0,0,2
075_OLBO,BO,81,0.84,33.6,0,1,47,38,12,2,0,0.8316,0.4368,0.1176,0.0084,0,0.0084,0.3948,0.3192,0.1008,0.0168,0,3
076_gasoline,NAPTHA,65,1.4,56,18,74,8,0,0,0,0,0.112,0,0,1.288,0.252,1.036,0.112,0,0,0,0,2
078_HFO,HFO,140,3.5,140,1,25,32,18,13,10,0,2.555,1.435,0.805,0.91,0.035,0.875,1.12,0.63,0.455,0.35,0,3
079_HFO,HFO,36,1.7,68,0,13,34,20,17,12,4,1.479,0.901,0.561,0.221,0,0.221,0.578,0.34,0.289,0.204,0.068,3
080_HFO,HFO,33,5.9,236,3,25,28,20,14,10,0,4.248,2.596,1.416,1.652,0.177,1.475,1.652,1.18,0.826,0.59,0,3
081_OLBO,BO,41,0.73,29.2,0,7,10,15,24,28,16,0.6789,0.6059,0.4964,0.0511,0,0.0511,0.073,0.1095,0.1752,0.2044,0.1168,6
082_UATO,UATO,15,4.9,196,0,6,43,31,13,6,0,4.557,2.45,0.931,0.294,0,0.294,2.107,1.519,0.637,0.294,0,3
083_UATO,UATO,37,7.2,288,0,32,67,1,0,0,0,4.896,0.072,0,2.304,0,2.304,4.824,0.072,0,0,0,3
084_UATO,UATO,154,6,240,0,0,8,33,31,22,6,6,5.52,3.54,0,0,0,0.48,1.98,1.86,1.32,0.36,4
